cohort,seed,highlight,replicate_index,leg,direction,out_files,malformed_lines,n,mean,sd,p50,p95,p99,max,frac_gt_120,frac_gt_150,frac_gt_180,tail_state,tail_state_p99,tail_state_frac_gt150,n_states_declared,n_cycles,gate_passed,total_round_trips,min_adjacent_pair,min_adjacent_crossing,nan_any,root
w23a_gateA,s7,False,0,bound,dplus,15,0,12000,56.45267050003427,56.78185095456453,38.3862117964,157.819853163235,182.28808471976402,197.9957202763,0.24758333333333332,0.0665,0.013083333333333334,0,195.66664595327202,0.7175,15,800,True,3,0-1,318,False,/home/san/UPDD_proj/outputs/_trackb/mdm2_w23a_gateA_20260708/w23a/bound/rep0
w23a_gateA,s7,False,0,bound,dminus,15,0,12000,65.45046084321459,54.960337310703615,50.06750044815,169.48498339873498,186.1920026212241,199.4894918367,0.2315,0.11133333333333334,0.020416666666666666,14,196.83019518846498,0.90375,15,800,True,1,11-12,254,False,/home/san/UPDD_proj/outputs/_trackb/mdm2_w23a_gateA_20260708/w23a/bound/rep0
w23a_gateA,s19,False,1,bound,dplus,15,0,12000,57.69617284348205,54.85904863922226,44.1798835594,156.01950926371,183.90940880047603,198.0553153231,0.22033333333333333,0.06291666666666666,0.01475,0,195.700237926054,0.7225,15,800,True,2,0-1,284,False,/home/san/UPDD_proj/outputs/_trackb/mdm2_w23a_gateA_20260708/w23a/bound/rep1
w23a_gateA,s19,False,1,bound,dminus,15,0,12000,71.16455430062956,57.86171897324012,58.6274768837,175.18106623796996,189.453294609177,198.9224137388,0.2704166666666667,0.1395,0.033166666666666664,14,196.452176034142,0.94375,15,800,True,3,11-12,332,False,/home/san/UPDD_proj/outputs/_trackb/mdm2_w23a_gateA_20260708/w23a/bound/rep1
w23a_gateA,s23,False,2,bound,dplus,15,0,12000,59.021010664082596,58.18882042682943,38.79781981955,153.22946340557,179.77566884303803,197.9804389087,0.293,0.059166666666666666,0.00975,0,193.512722250224,0.64375,15,800,True,0,0-1,284,False,/home/san/UPDD_proj/outputs/_trackb/mdm2_w23a_gateA_20260708/w23a/bound/rep2
w23a_gateA,s23,False,2,bound,dminus,15,0,12000,72.30607529468315,57.59249307256481,58.699715433799994,170.99566760313996,188.01864730282705,198.9860106557,0.311,0.12616666666666668,0.026583333333333334,14,196.640262624732,0.91875,15,800,True,1,12-13,312,False,/home/san/UPDD_proj/outputs/_trackb/mdm2_w23a_gateA_20260708/w23a/bound/rep2
w23a_gateA,s42,False,3,bound,dplus,15,0,12000,54.04913820173506,55.5271636237612,36.75308373415,154.74113319377,179.793181319787,198.5370867782,0.22908333333333333,0.05975,0.009583333333333333,0,195.26772677082798,0.67,15,800,True,1,10-11,326,False,/home/san/UPDD_proj/outputs/_trackb/mdm2_w23a_gateA_20260708/w23a/bound/rep3
w23a_gateA,s42,False,3,bound,dminus,15,0,12000,67.31718984193458,56.12215385287231,52.93230162525,174.824809010765,189.149704141356,199.8388109003,0.23525,0.12333333333333334,0.032916666666666664,14,198.00281210734502,0.9175,15,800,True,3,12-13,274,False,/home/san/UPDD_proj/outputs/_trackb/mdm2_w23a_gateA_20260708/w23a/bound/rep3
w23a_gateA,s101,True,4,bound,dplus,15,0,12000,57.01665042950667,58.09118145795188,40.84815760185,175.37394474008497,190.82871340291,199.1712303752,0.221,0.08325,0.0375,0,197.38521806866,0.93,15,800,True,1,0-1,172,False,/home/san/UPDD_proj/outputs/_trackb/mdm2_w23a_gateA_20260708/w23a/bound/rep4
w23a_gateA,s101,True,4,bound,dminus,15,0,12000,77.19435313487611,58.348245488303945,64.43316895465,172.48231218298503,187.97245699026303,199.0303301369,0.3413333333333333,0.14041666666666666,0.029833333333333333,14,196.88377265658,0.92875,15,800,True,0,9-10,150,False,/home/san/UPDD_proj/outputs/_trackb/mdm2_w23a_gateA_20260708/w23a/bound/rep4
