cohort,seed,replicate_index,leg,direction,state,n,mean,sd,min,p01,p05,p50,p95,p99,max,frac_gt_120,frac_gt_150,frac_gt_180,frac_lt_0
w23a_gateA,s7,0,bound,dplus,0,800,161.73536730802172,18.02611543699883,110.9662707056,126.089738946177,130.02644688978998,163.19268556334998,188.97017773859,195.66664595327202,197.8163086487,0.99875,0.7175,0.17375,0.0
w23a_gateA,s7,0,bound,dplus,1,800,140.11899091322715,17.302002887327887,40.5917632648,80.32064346688,124.72881750935,138.0654349724,167.65223836260498,183.216721704089,197.9957202763,0.97,0.23,0.02125,0.0
w23a_gateA,s7,0,bound,dplus,2,800,122.30497866177275,27.589838418897525,12.2632816234,21.907786265368003,51.6055630452,129.320394633,148.47450812527,160.826076610452,181.2913177733,0.82125,0.04375,0.00125,0.0
w23a_gateA,s7,0,bound,dplus,3,800,98.71399202889043,38.36462387495952,6.145061544,12.341257244845,26.234287240095,123.02590563295,136.950575861245,143.87384169645898,160.6685623893,0.51,0.005,0.0,0.0
w23a_gateA,s7,0,bound,dplus,4,800,81.56637155013712,37.92140599718203,1.5684751434,13.612300953072001,24.05034898575,76.98365424835,131.776104834675,139.03849694993198,151.5075990744,0.29625,0.00125,0.0,0.0
w23a_gateA,s7,0,bound,dplus,5,800,60.61207960853831,28.598545787529595,2.0980689083,9.174680983331001,18.498005329115,58.730641469,124.01835220864498,127.550258971039,129.2871340233,0.0575,0.0,0.0,0.0
w23a_gateA,s7,0,bound,dplus,6,800,55.87475278693467,25.169994588729963,-0.9371172174,9.402077202632,18.70550151989,55.1129955635,96.540952139075,126.129106687442,128.9756478897,0.0275,0.0,0.0,0.00125
w23a_gateA,s7,0,bound,dplus,7,800,54.45294764284315,23.11034344152847,-0.8750317429,10.227071787582,17.598851278685004,55.39144658225,89.74414482623001,124.180204077682,127.1462437944,0.01375,0.0,0.0,0.00125
w23a_gateA,s7,0,bound,dplus,8,800,34.37645977478912,19.272346426648177,2.3170018971,4.628654173645001,9.893145296775,30.8276553911,69.76290350887,89.445726091916,124.6754006581,0.005,0.0,0.0,0.0
w23a_gateA,s7,0,bound,dplus,9,800,24.179887007886744,15.533146463557156,-3.6044585773,0.6135165212489999,5.239395520845001,20.81415530145,51.07095109344498,72.92197583049996,124.4909543507,0.00125,0.0,0.0,0.0075
w23a_gateA,s7,0,bound,dplus,10,800,13.605611925577621,10.940001905308055,-5.9261285552,-2.985886524547,1.185785880735,12.22640378525,28.915422778704997,41.66356394900399,124.1249754174,0.00375,0.0,0.0,0.03
w23a_gateA,s7,0,bound,dplus,11,800,5.801385636483876,9.182945928417361,-10.9529513474,-5.8560816689849995,-2.797884239069999,4.6071623296999995,15.067070984699994,21.387657034192998,126.8580995066,0.00375,0.0,0.0,0.13875
w23a_gateA,s7,0,bound,dplus,12,800,1.6451664060531255,8.912553323194762,-12.552469228,-9.450662587377,-6.854714854945,0.8551923996499999,9.449129122849996,13.022017469823998,125.5473288399,0.00375,0.0,0.0,0.42
w23a_gateA,s7,0,bound,dplus,13,800,-2.6589248102908742,4.576555848101382,-16.7535085295,-12.826084115084,-10.011212730005,-2.7825262533000004,4.818836452854999,9.683592816415999,14.6526387727,0.0,0.0,0.0,0.73125
w23a_gateA,s7,0,bound,dplus,14,800,-5.539008940351497,6.247500055399686,-19.7417804434,-15.841218499752001,-12.69426218181,-5.46912344645,1.1792972484199986,4.594313437386991,121.7144127584,0.00125,0.0,0.0,0.9075
w23a_gateA,s7,0,bound,dminus,0,800,5.338491290295752,4.154703561756623,-6.2437914526,-4.602482578708001,-1.3889991074549997,5.3691098157,12.348509108379988,15.716769800140998,22.0793218959,0.0,0.0,0.0,0.09625
w23a_gateA,s7,0,bound,dminus,1,800,8.325074155355255,6.146940368786839,-4.9985809034,-1.950051068852,0.9653474358999999,8.16062212445,15.88004059363,18.782888963129995,127.4247715237,0.00125,0.0,0.0,0.02875
w23a_gateA,s7,0,bound,dminus,2,800,11.744465399169362,6.144421219665766,-6.990917782,1.7428956478930002,4.48616567578,11.36350905235,20.20823841567999,24.048794514792995,123.8435703066,0.00125,0.0,0.0,0.0025
w23a_gateA,s7,0,bound,dminus,3,800,16.078755717739867,7.80476030051566,1.4419701542,5.048858467542001,8.018595766625,15.211057936500001,25.67458435405999,32.901674347231996,127.2235040205,0.0025,0.0,0.0,0.0
w23a_gateA,s7,0,bound,dminus,4,800,24.431234030377844,10.621700684724589,2.1228097365,8.286431569644,11.99485530817,22.610666191150003,42.32198740742499,56.84071061257098,125.151636551,0.0025,0.0,0.0,0.0
w23a_gateA,s7,0,bound,dminus,5,800,36.04175240602564,16.420305540452436,9.0656462864,11.064457793093,15.628431039375,32.565581866900004,65.88701937436993,84.36460418412196,126.8203969813,0.00375,0.0,0.0,0.0
w23a_gateA,s7,0,bound,dminus,6,800,47.225666547368974,18.816140639837172,9.3088532953,15.346651678988,19.96936105173,45.44960153265,81.12095090676999,94.908255874318,125.0053255814,0.00375,0.0,0.0,0.0
w23a_gateA,s7,0,bound,dminus,7,800,62.80600228619295,19.744602313787738,14.4542453394,19.9820115507,28.61308285653,64.31576672295,92.79076774991499,103.456583796434,122.900814693,0.00375,0.0,0.0,0.0
w23a_gateA,s7,0,bound,dminus,8,800,64.04184581729989,21.214237646752725,13.1497501643,20.564606704859,28.07209897456,65.07993154725,96.19627272424998,109.777078681397,124.6742835535,0.005,0.0,0.0,0.0
w23a_gateA,s7,0,bound,dminus,9,800,66.71600242938281,21.924248152062066,10.5727361675,20.270202520023,30.27192037372,67.3376488184,101.12621597251497,118.86832760453099,126.2894451694,0.00875,0.0,0.0,0.0
w23a_gateA,s7,0,bound,dminus,10,800,80.94026996012575,30.270833776896076,11.194757932,19.756648280644,32.585432880495,80.81661538005,129.67900140425502,136.903961747864,151.411073813,0.14625,0.00125,0.0,0.0
w23a_gateA,s7,0,bound,dminus,11,800,97.9260782610358,33.71049081381013,15.0209503466,26.070932421177,38.123258805855,105.79380587655001,140.378382223245,148.39203312441697,173.1001920129,0.37,0.00875,0.0,0.0
w23a_gateA,s7,0,bound,dminus,12,800,137.0238225426035,20.423302943231356,13.9750668469,45.106124148568,110.701865346645,138.11093619925,160.62518665600498,179.50017680832397,192.5907730365,0.93125,0.185,0.00875,0.0
w23a_gateA,s7,0,bound,dminus,13,800,153.42762296433312,16.786694117717015,22.6315558527,123.31419521715799,129.95477063694,153.25065774185,180.13079880592994,192.845429166701,198.761188732,0.995,0.57125,0.0525,0.0
w23a_gateA,s7,0,bound,dminus,14,800,169.6898288409111,15.42411021443517,52.4150782744,128.996683077326,141.31374995759,171.57040637945,191.46619070264498,196.83019518846498,199.4894918367,0.9975,0.90375,0.245,0.0
w23a_gateA,s19,1,bound,dplus,0,800,162.11865854734685,18.545089939685546,113.5748327521,126.751242716072,131.92537498661002,161.85994853260001,190.91553567457498,195.700237926054,198.0553153231,0.9975,0.7225,0.20875,0.0
w23a_gateA,s19,1,bound,dplus,1,800,138.5756840137914,17.63342961938599,22.5645688934,69.224335358642,120.81860670043,136.27397712225002,167.85989629555996,179.94500575355102,196.7068246774,0.95125,0.195,0.01,0.0
w23a_gateA,s19,1,bound,dplus,2,800,115.89827945474428,30.060683040122974,9.1965859524,31.178671725616002,46.45753353550499,127.98579184955,144.94024974106,157.427921774129,190.9565273137,0.67375,0.02375,0.0025,0.0
w23a_gateA,s19,1,bound,dplus,3,800,93.189959508311,35.39030319380585,12.9520569431,21.228046016119002,33.266237452220004,95.50263093035,134.279218037115,141.96506416165,155.2742575978,0.37375,0.0025,0.0,0.0
w23a_gateA,s19,1,bound,dplus,4,800,83.30971757644362,33.95124830669289,3.8205907176,19.851748756457003,28.790820032405,80.26018015060001,131.22518028135,135.24246667460898,143.5572203762,0.2475,0.0,0.0,0.0
w23a_gateA,s19,1,bound,dplus,5,800,63.96319841533506,25.54856042056219,10.4070192997,16.274267017919996,25.0898372147,63.41272649525,108.22037739238498,127.541415833689,133.7589066272,0.0325,0.0,0.0,0.0
