design_id,ipTM,status
design_w4_0_s2,0.7300,PASS
design_w1_0_s1,0.7200,PASS
design_w4_1_s2,0.7000,PASS
design_w4_0_s1,0.6300,PASS
design_w2_0_s2,0.5600,PASS
design_w3_0_s2,0.3800,PASS
design_w4_1_s1,0.3800,PASS
design_w1_1_s2,0.3200,PASS
design_w1_2_s1,0.2900,FAIL
design_w1_0_s2,0.2800,FAIL
design_w1_2_s2,0.2700,FAIL
design_w2_2_s2,0.2300,FAIL
design_w2_2_s1,0.2200,FAIL
design_w3_0_s1,0.2000,FAIL
design_w2_1_s1,0.2000,FAIL
design_w2_1_s2,0.2000,FAIL
design_w1_1_s1,0.2000,FAIL
design_w3_1_s2,0.2000,FAIL
design_w3_1_s1,0.2000,FAIL
design_w2_0_s1,0.1800,FAIL
