#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Time Remaining"
3.0%	150000	-451045.8949354626	74062.5487743262	297.81602011216904	309.87389646332736	--
4.0%	200000	-450769.0705916027	74483.00945300271	299.5067521759366	309.8695133554198	24:10
5.0%	250000	-451026.9149601527	74820.7099487656	300.8646937982869	309.86951335545837	23:53
6.0%	300000	-450787.0096245494	74058.11875892148	297.798206391487	309.86951335545837	23:39
7.0%	350000	-451009.3806470216	74514.63104864856	299.6339070999933	309.86951335545837	23:23
8.0%	400000	-451364.34559303126	74438.25917682324	299.3268049641373	309.86951335545837	23:09
9.0%	450000	-449893.09566247393	73502.84190969639	295.56535937186123	309.86951335545837	22:53
10.0%	500000	-450584.6972856312	74717.74704554069	300.45066535118235	309.86951335545837	22:38
11.0%	550000	-450837.78983328724	75029.54151622951	301.70443516994015	309.86951335545837	22:24
12.0%	600000	-451782.5216063801	74596.53542725752	299.9632562308395	309.86951335545837	22:09
13.0%	650000	-449904.5846567629	74844.13461549213	300.95888770779186	309.86951335545837	21:54
14.0%	700000	-450223.08589431527	74738.19536593925	300.532890949678	309.86951335545837	21:38
15.0%	750000	-451323.8613841627	74781.9281015769	300.70874648654194	309.86951335545837	21:23
16.0%	800000	-449811.2911351004	74673.17953418402	300.2714530626749	309.86951335545837	21:08
17.0%	850000	-449904.0263592382	74683.42351884602	300.31264557890086	309.86951335545837	20:53
18.0%	900000	-450360.0167165033	75054.15021498021	301.80339024026057	309.86951335545837	20:37
19.0%	950000	-449833.6964714483	74896.82602583405	301.1707673471213	309.86951335545837	20:22
20.0%	1000000	-451256.1931860491	74431.35369947161	299.2990370596313	309.86951335545837	20:07
21.0%	1050000	-449735.7484591396	74238.44989445357	298.52334348135565	309.86951335545837	19:52
22.0%	1100000	-449376.2691529705	74943.2626489951	301.35749559947203	309.86951335545837	19:37
23.0%	1150000	-450695.7306967862	74491.79323501162	299.54207301005204	309.86951335545837	19:22
24.0%	1200000	-449698.6708516693	74032.02999372581	297.6932997639296	309.86951335545837	19:07
25.0%	1250000	-450074.0145778756	75503.3021027485	303.60949372784927	309.86951335545837	18:52
26.0%	1300000	-449988.9413161371	74358.90086187182	299.0076939166137	309.86951335545837	18:37
27.0%	1350000	-451847.9763015597	74580.21388464958	299.89762499154205	309.86951335545837	18:21
28.0%	1400000	-450396.8089598706	74401.80146376527	299.1802033255898	309.86951335545837	18:06
29.0%	1450000	-449781.21855547675	74936.55739011179	301.3305328018436	309.86951335545837	17:51
30.0%	1500000	-451178.4278053369	74441.93265248492	299.341576531139	309.86951335545837	17:36
31.0%	1550000	-451676.7289223529	74308.80321122329	298.8062441531364	309.86951335545837	17:21
32.0%	1600000	-451218.58452486945	75033.82242087048	301.72164929507835	309.86951335545837	17:06
33.0%	1650000	-451396.0587972831	75163.82592736615	302.24441184573186	309.86951335545837	16:51
34.0%	1700000	-451084.367442952	74919.86290445812	301.2634019056285	309.86951335545837	16:36
35.0%	1750000	-450398.52204306517	74757.44054272198	300.6102785369355	309.86951335545837	16:21
36.0%	1800000	-450235.0520092808	74633.80576155067	300.1131255347066	309.86951335545837	16:06
37.0%	1850000	-451176.14245527145	74764.5553812782	300.63888831255923	309.86951335545837	15:50
38.0%	1900000	-450739.5552395182	74223.11067647998	298.46166230883154	309.86951335545837	15:35
39.0%	1950000	-451248.62446750235	74978.00615538158	301.4972041697008	309.86951335545837	15:20
40.0%	2000000	-451717.65800587647	74896.36548864919	301.1689154617382	309.86951335545837	15:05
41.0%	2050000	-450259.55397297395	74597.30297769226	299.9663426600739	309.86951335545837	14:50
42.0%	2100000	-451151.3789166843	74871.49085735189	301.0688910389049	309.86951335545837	14:35
43.0%	2150000	-451286.75854969164	74899.06561831941	301.179773066364	309.86951335545837	14:20
44.0%	2200000	-449446.46518516075	74524.66193879166	299.6742427329149	309.86951335545837	14:04
45.0%	2250000	-449665.6343851497	73834.33665169582	296.8983467775634	309.86951335545837	13:49
46.0%	2300000	-450001.7772094023	74380.03589626876	299.0926808895602	309.86951335545837	13:34
47.0%	2350000	-449622.6037826033	74119.30428592883	298.0442420794744	309.86951335545837	13:19
48.0%	2400000	-450519.7089506157	74727.33119790253	300.4892045880813	309.86951335545837	13:04
49.0%	2450000	-451400.1737971958	74976.0565135427	301.48936438315957	309.86951335545837	12:49
50.0%	2500000	-449604.7555042275	74923.1109587076	301.27646279275297	309.86951335545837	12:34
51.0%	2550000	-450553.41831286205	75082.79788152524	301.9185865733214	309.86951335545837	12:19
52.0%	2600000	-449251.0300609849	74461.53195662083	299.420388114744	309.86951335545837	12:04
53.0%	2650000	-450609.800023105	74472.50092033937	299.46449587465065	309.86951335545837	11:48
54.0%	2700000	-450033.02736720396	75443.06657597917	303.3672781256498	309.86951335545837	11:33
55.0%	2750000	-450110.31880835607	74867.68940188336	301.05360484693597	309.86951335545837	11:18
56.0%	2800000	-450731.03194490145	74024.90177527236	297.66463618584015	309.86951335545837	11:03
57.0%	2850000	-451121.85828768625	75362.70031561822	303.04411398657965	309.86951335545837	10:48
58.0%	2900000	-451513.908375876	74471.88020920675	299.46199990709056	309.86951335545837	10:33
59.0%	2950000	-450254.57322338107	74805.47689569382	300.80343952990063	309.86951335545837	10:18
60.0%	3000000	-451040.08959011687	74454.60403907225	299.39252997502115	309.86951335545837	10:03
61.0%	3050000	-452101.68011039426	73928.43544887438	297.27673139619776	309.86951335545837	9:48
